Time,X_pos,Y_pos,X_vel,Y_vel,X_acl,Y_acl,Angle,Ang_vel,Ang_acl
0.96,-1.237378440131608,46.12101150834626,-5.13995030112306,133.43087330162084,-15.095950849593446,175.54857812621424,4.655999999999996,9.599999999999982,10.0
0.97,-1.2902875382277978,47.472875099175084,-5.290909809618994,135.18635908288297,-15.361519850880434,174.94286678264004,4.752999999999996,9.699999999999982,10.0
0.98,-1.3447327883090758,48.842232976682176,-5.4445250081277985,136.93578775070938,-15.628295322407395,174.33651642849685,4.8509999999999955,9.799999999999981,10.0
0.99,-1.4007408679225946,50.22902450583212,-5.600807961351872,138.67915291499435,-15.89624502026406,173.72951826238202,4.949999999999996,9.89999999999998,10.0
1.0,-1.4583385720381397,51.63318898680831,-5.759770411554513,140.41644809761817,-16.16533665890546,173.1218635288195,5.049999999999995,9.99999999999998,10.0
1.01,-1.5175528098195754,53.054665654137374,-5.921423778143567,142.14766673290637,-16.435537910848815,172.51354352109516,5.150999999999995,10.09999999999998,10.0
1.02,-1.578410601392096,54.493393675818545,-6.085779157252055,143.87280216811732,-16.706816406384064,171.90454958409535,5.252999999999995,10.19999999999998,10.0
1.03,-1.640939074605255,55.94931215245813,-6.252847321315896,145.59184766395828,-16.998838097491955,171.50498209816277,5.3559999999999945,10.29999999999998,10.0
1.04,-1.705167431628163,57.422381127307524,-6.422835702290815,147.3068974849399,-17.31271456439056,171.31472421558018,5.459999999999995,10.399999999999979,10.0
1.05,-1.7711270601075102,58.91258157457848,-6.595962847934721,149.0200447270957,-17.629114288268738,171.123617124243,5.564999999999994,10.499999999999979,10.0
1.06,-1.8388496000156842,60.41989438356186,-6.772253990817408,150.73128089833813,-17.948026303196595,170.9316459679961,5.670999999999994,10.599999999999978,10.0
1.07,-1.9083669425541778,61.94430035714204,-6.951734253849374,152.4405973580181,-18.26943957304503,170.73879579463818,5.777999999999994,10.699999999999978,10.0
1.08,-1.979711229049976,63.485780210301684,-7.1344286495798235,154.1479853159645,-18.593342990336257,170.54505155696074,5.885999999999994,10.799999999999978,10.0
1.09,-2.0529148498448078,65.04431456861703,-7.320362079483186,155.85343583153409,-18.91972537508935,170.3503981137956,5.994999999999994,10.899999999999977,10.0
1.1,-2.1280104431771485,66.61988396674374,-7.509559333234079,157.55693981267203,-19.248575473660885,170.15482023107043,6.104999999999993,10.999999999999977,10.0
1.11,-2.2050308940568555,68.21246884689357,-7.702045087970688,159.25848801498273,-19.57988195758083,169.95830258287268,6.215999999999993,11.099999999999977,10.0
1.12,-2.2840093331323206,69.82204955730168,-7.897843907546496,160.95807104081146,-19.91363342238384,169.7608297525215,6.327999999999993,11.199999999999976,10.0
1.1300000000000001,-2.364979135550024,71.44860635068505,-8.096980241770334,162.65567933833668,-20.249818386436047,169.56238623364882,6.440999999999993,11.299999999999976,10.0
1.1400000000000001,-2.447973919806371,73.09211938269179,-8.299478425634694,164.35130320067316,-20.588425289757584,169.3629564312889,6.554999999999993,11.399999999999975,10.0
